"site","scale","spp","nbLL","pLL","nbZ","nbPar.k","nbPar.mu","kl","perm.nbLL","perm.pLL","perm.nbZ","perm.nbPar.k","perm.nbPar.mu","perm.kl"
"PASO",122.0703125,"SCOLSP",-972.359578512359,-977.364901882079,2.6055514466933,4.61784237564215,0.0615234375,-0.000350565847678956,-961.553312960612,-961.592415765995,1.43347664451649,55.2785515320334,0.0615234375,-3.01345558551543e-05
"PASO",122.0703125,"SEMECU",-831.625505389133,-831.836278110572,0.891236798377222,21.5811650287693,0.050537109375,-5.31206622059948e-05,-827.68989080293,-827.677395027213,0.681927015182116,100.000000000001,0.0505371115651798,-1.15135839406989e-05
"PASO",122.0703125,"SEMERU",NA,-17.2492379723188,NA,NA,NA,0,NA,-17.2492379723188,NA,NA,NA,0
"PASO",122.0703125,"SHORAC",-3732.59959234424,-3867.25090410297,1956.29981684246,1.84440423707644,0.4560546875,-0.00965752144105195,-3617.69543842364,-3617.72654837418,1809.9195509059,148.856931579357,0.4560546875,-0.000238881054112378
"PASO",122.0703125,"SHORBR",-2447.61221414616,-2613.38895964062,221.629889589065,1.05171546780679,0.232421875,-0.00916420594270261,-2417.17281490706,-2417.18365241909,114.784012425116,191.626032245379,0.232421875,-8.55024293038173e-05
"PASO",122.0703125,"SHORDA",-260.110498131012,-262.235567927464,0.0423220165638872,3.03697099756998,0.011474609375,-2.09981135800366e-05,-256.980768985507,-256.978072555436,0.00640085877851574,100,0.0114746093886539,-6.43182211382054e-07
"PASO",122.0703125,"SHORGU",-1972.8456911655,-2394.12948418882,98.2903602708234,0.519258246698788,0.18212890625,-0.00942977187295153,-2077.62039303199,-2079.32264101365,56.193072962782,13.7316042612487,0.18212890625,-0.00079770241712489
"PASO",122.0703125,"SHORHO",-273.030232974422,-274.158359075468,0.0374735857814566,4.38418054901289,0.01220703125,-1.64756867014704e-05,-270.290209698204,-270.28715806456,0.00771353743777678,100,0.0122070313102909,-7.26827303533059e-07
"PASO",122.0703125,"SHORL1",-3950.9900685805,-4588.83205009976,2492.17843939227,0.606649559729049,0.52587890625,0.00875342502062609,-3911.04877879288,-3911.10092486269,3601.41823836404,121.099288832753,0.52587890625,-0.000316081120786464
"PASO",122.0703125,"SHORL2",-2262.47881051626,-2347.2271090508,134.115779481727,1.66624933487746,0.203125,-0.00602100153078701,-2216.4289937528,-2216.4428901488,70.4697178424833,159.864864864865,0.203125,-8.36744227661937e-05
"PASO",122.0703125,"SHORM1",-3011.13520057336,-3956.26299526498,781.12410166191,0.382339400066323,0.3681640625,0.00347116742732392,-3196.97198785695,-3196.92298465508,689.819157377837,100.000000000317,0.368164067657295,-0.000293568461041174
"PASO",122.0703125,"SHORM2",-6045.79241629255,-11269.1257323658,11950.7305033514,0.145795996022965,1.52294921875,0.69988850121339,-6455.68956510633,-6463.06772728885,17041.5793557571,9.84656546398866,1.52294921875,0.0141186768008427
"PASO",122.0703125,"SHORMU",-87.7868248169971,-87.7866185203515,0.000134077243959258,100,0.0031738281250605,-5.00432724299347e-08,-87.7868248169971,-87.7866185203515,0.00013407723760339,100,0.00317382812530248,-5.00432732116765e-08
"PASO",122.0703125,"SHOROC",-1424.58902837761,-1690.16054154674,23.5213434610021,0.482286023311693,0.113037109375,-0.0060957350110148,-1493.09205466316,-1493.15252456593,9.96651093670096,59.5210962516483,0.113037109375,-8.4646268004378e-05
"PASO",122.0703125,"SHOROV",-2749.64946508266,-2817.81927902347,333.959567796585,2.24820203622694,0.2744140625,-0.00685176582043396,-2700.44082654835,-2702.414732247,237.328932273937,15.2198267310363,0.2744140625,-0.00130535441796325
"PASO",122.0703125,"SHORP1",-2846.86170545097,-3009.2563372099,445.664663064947,1.26353666948093,0.29248046875,-0.0100521519824691,-2794.86401713073,-2795.21039633723,281.857550144065,37.5446558400809,0.29248046875,-0.00059020307552512
"PASO",122.0703125,"SHORP2",-4259.25278842263,-4958.74854057055,3574.9193979921,0.648859974115454,0.598876953125,0.0165841548519884,-4194.55100661677,-4194.86489828018,6925.02900621897,51.5711828729849,0.598876953125,-0.00073974953922652
"PASO",122.0703125,"SINDCO",-2846.3497594884,-2882.41555354942,378.550561107533,3.39131377246175,0.291015625,-0.00535798861341577,-2789.73078251614,-2790.1206584003,280.149356565511,35.6794924273435,0.291015625,-0.00061647734596007
"PASO",122.0703125,"SINDEC",-263.404689113194,-263.920034128738,0.0248568877852267,6.44205558468799,0.01171875,-1.03670428986646e-05,-262.702810092246,-262.82142184007,0.016535616143708,13.9127972819932,0.01171875,-4.81121905234302e-06
"PASO",122.0703125,"SINDVE",-702.447098863274,-706.121748933767,0.801550142816622,4.37534203737003,0.0400390625,-0.000165386863735289,-695.166008104533,-695.201293081604,0.386831608762685,47.2012932246275,0.0400390625,-1.56309866921064e-05
"PASO",122.0703125,"SINDWA",-81.9944899827095,-81.9943142031761,0.000105424752795044,100,0.00292968750035906,-4.26615229959174e-08,-81.9944899827095,-81.9943142031761,0.000105424752795044,100,0.00292968750035906,-4.26615229959174e-08
"PASO",122.0703125,"SLOAJA",-177.498162157707,-177.497063551716,0.00165604302390791,100,0.00732421875674763,-2.64268256466484e-07,-177.498162157707,-177.497063551716,0.00165604302390791,100,0.00732421875674763,-2.64268256466484e-07
"PASO",122.0703125,"STELCA",-70.1519328065721,-70.151810737253,6.09744003679679e-05,100,0.00244140625053541,-2.96553810403957e-08,-70.1519328065721,-70.151810737253,6.09744003679679e-05,100,0.00244140625053541,-2.96553810403957e-08
"PASO",122.0703125,"STEMMA",-485.280301873949,-485.530883214788,0.126389044246194,13.8499047744139,0.025146484375,-2.16099230592258e-05,-483.04897558821,-483.045976565,0.0787269619998707,100,0.0251464844458184,-3.0039166654995e-06
"PASO",122.0703125,"STEMUM",NA,-9.31776616671934,NA,NA,NA,0,NA,-9.31776616671934,NA,NA,NA,0
"PASO",122.0703125,"STERC1",-1426.28247700814,-1438.5260192771,13.2543677580628,3.7269684432338,0.103759765625,-0.00109301429986585,-1402.48027118838,-1402.4688148546,7.07774113950336,100.000000000001,0.103759766144475,-4.33838321203564e-05
"PASO",122.0703125,"STERC2",-104.723151607604,-104.722839111673,0.000250187236095964,100,0.00390625000019539,-7.56927415515754e-08,-104.723151607604,-104.722839111673,0.000250187236095964,100,0.00390625000019539,-7.56927415515754e-08
"PASO",122.0703125,"STERHI",-197.558571571063,-197.600939012068,0.00552564173475062,19.6930693069307,0.00830078125,-1.71886653482132e-06,-196.909202925277,-196.907791831508,0.00241360832242418,100,0.00830078125524017,-3.38765222910255e-07
"PASO",122.0703125,"STERMA",NA,-45.1560401849477,NA,NA,NA,0,NA,-45.1560401849477,NA,NA,NA,0
"PASO",122.0703125,"STERPA",-997.873628055347,-997.916567207985,1.66394355988418,53.8494938467645,0.064697265625,-3.39774151129007e-05,-996.816522042526,-996.817954919317,1.56682745346863,287.99761146496,0.064697265625,-6.36764039663463e-06
"PASO",122.0703125,"STERRU",-621.690411979718,-622.268209589145,0.356176847125513,10.6948766392532,0.034423828125,-5.12955861676168e-05,-616.73734782837,-616.723032144666,0.193286740053183,100,0.0344238283138688,-5.52300586374356e-06
"PASO",122.0703125,"STERS1",NA,-17.2492379723188,NA,NA,NA,0,NA,-17.2492379723188,NA,NA,NA,0
"PASO",122.0703125,"STREEL",NA,-45.1560401849477,NA,NA,NA,0,NA,-45.1560401849477,NA,NA,NA,0
"PASO",122.0703125,"STROJA",NA,-31.7258872223978,NA,NA,NA,0,NA,-31.7258872223978,NA,NA,NA,0
"PASO",122.0703125,"STYRBE",-310.478060464284,-310.559789007124,0.0248060136245229,18.6394846474309,0.014404296875,-5.39733632485458e-06,-309.177743709571,-309.173494646004,0.01270879332501,100,0.0144042969182507,-1.00751466154899e-06
"PASO",122.0703125,"SUREMU",-576.579452573982,-577.277156038501,0.275032345006277,9.12026726057906,0.03125,-4.98681967423007e-05,-574.325703963104,-574.386784280605,0.194939187444333,31.7441860465115,0.03125,-1.44094016603967e-05
"PASO",122.0703125,"SYMPCE",-566.053236373347,-566.053311091871,0.151367320894214,813.832807570943,0.03076171875,-5.46372109536369e-07,-566.053236373347,-566.053311091871,0.151367320894214,813.832807570943,0.03076171875,-5.46372109536369e-07
"PASO",122.0703125,"SYMPCO",-81.9944899827095,-81.9943142031761,0.000105424752795044,100,0.00292968750035906,-4.26615229959174e-08,-81.9944899827095,-81.9943142031761,0.000105424752795044,100,0.00292968750035906,-4.26615229959174e-08
"PASO",122.0703125,"SYMPCR",-1699.99256619567,-1703.81063540415,23.2397884442325,7.86802499529246,0.134521484375,-0.000835533925191165,-1690.79105401683,-1691.62166822652,19.737562330817,17.207456949804,0.134521484375,-0.000390511239008248
"PASO",122.0703125,"SYMPOP",NA,-51.6029921236482,NA,NA,NA,0,NA,-51.6029921236482,NA,NA,NA,0
"PASO",122.0703125,"SYMPRU",-76.1187275368866,-76.1185798331307,8.11803884969267e-05,100,0.00268554687508674,-3.58652660763255e-08,-76.1187275368866,-76.1185798331307,8.11803884969267e-05,100,0.00268554687508674,-3.58652660763255e-08
"PASO",122.0703125,"TABECO",-1276.24591164274,-1278.92754388256,6.56182096521024,7.77244799801405,0.089599609375,-0.000418387282246051,-1258.66552279737,-1258.59070957501,3.95092187818444,100.000000000015,0.0895996128582811,-3.33418660750491e-05
"PASO",122.0703125,"TABEMA",NA,-17.2492379723188,NA,NA,NA,0,NA,-17.2492379723188,NA,NA,NA,0
"PASO",122.0703125,"TALACA",-163.725729906337,-163.978385480425,0.00680648861665193,7.05043999489861,0.006591796875,-3.03444067906624e-06,-162.592980992331,-162.592091119305,0.00120617276609396,100,0.00659179687533411,-2.14375807096854e-07
